iter	Passed	Remaining
0	184	184218
1	198	99172
2	206	68719
3	218	54417
4	228	45557
5	239	39709
6	251	35682
7	262	32560
8	272	29976
9	280	27798
10	289	26032
11	298	24562
12	307	23371
13	318	22433
14	329	21637
15	337	20774
16	345	19975
17	353	19303
18	362	18719
19	371	18187
20	380	17722
21	389	17314
22	397	16882
23	413	16810
24	422	16470
25	430	16138
26	438	15817
27	447	15520
28	455	15253
29	463	14990
30	472	14781
31	480	14548
32	488	14324
33	497	14123
34	505	13930
35	512	13725
36	520	13541
37	527	13364
38	536	13217
39	544	13057
40	552	12930
41	560	12780
42	568	12653
43	576	12515
44	583	12378
45	590	12255
46	598	12145
47	611	12123
48	620	12038
49	627	11927
50	635	11826
51	643	11732
52	651	11643
53	660	11572
54	669	11504
55	678	11429
56	686	11360
57	696	11309
58	704	11230
59	712	11159
60	720	11088
61	730	11044
62	739	10993
63	747	10934
64	757	10903
65	767	10866
66	777	10829
67	785	10759
68	794	10720
69	803	10671
70	812	10625
71	822	10596
72	831	10554
73	840	10516
74	848	10470
75	857	10424
76	865	10379
77	874	10333
78	882	10286
79	890	10242
80	899	10200
81	908	10165
82	916	10130
83	925	10087
84	933	10050
85	941	10009
86	950	9971
87	958	9929
88	968	9914
89	977	9881
90	987	9864
91	999	9864
92	1009	9845
93	1019	9823
94	1040	9916
95	1059	9975
96	1074	9998
97	1091	10047
98	1101	10022
99	1110	9998
100	1118	9958
101	1126	9921
102	1135	9891
103	1143	9854
104	1152	9820
105	1160	9786
106	1168	9750
107	1175	9712
108	1183	9676
109	1191	9639
110	1199	9604
111	1207	9576
112	1216	9548
113	1224	9517
114	1232	9487
115	1243	9473
116	1251	9444
117	1259	9410
118	1266	9377
119	1276	9360
120	1285	9337
121	1294	9314
122	1302	9287
123	1310	9261
124	1318	9227
125	1326	9202
126	1333	9169
127	1343	9149
128	1351	9124
129	1358	9093
130	1368	9076
131	1377	9059
132	1385	9032
133	1393	9008
134	1407	9016
135	1415	8991
136	1423	8968
137	1432	8948
138	1439	8916
139	1447	8888
140	1455	8869
141	1463	8844
142	1472	8827
143	1480	8800
144	1488	8779
145	1497	8758
146	1504	8729
147	1512	8707
148	1519	8680
149	1527	8654
150	1536	8637
151	1544	8614
152	1553	8600
153	1562	8581
154	1570	8560
155	1577	8533
156	1585	8512
157	1593	8491
158	1601	8470
159	1608	8446
160	1618	8434
161	1627	8416
162	1635	8399
163	1644	8382
164	1652	8363
165	1660	8340
166	1668	8324
167	1677	8307
168	1686	8290
169	1695	8278
170	1704	8262
171	1714	8251
172	1724	8243
173	1732	8225
174	1741	8210
175	1752	8203
176	1760	8187
177	1769	8172
178	1780	8167
179	1791	8161
180	1802	8158
181	1811	8143
182	1820	8128
183	1830	8119
184	1839	8105
185	1848	8087
186	1855	8068
187	1865	8057
188	1875	8047
189	1884	8034
190	1891	8012
191	1900	7997
192	1910	7989
193	1919	7973
194	1928	7961
195	1938	7950
196	1947	7937
197	1955	7922
198	1964	7907
199	1975	7900
200	1982	7882
201	1990	7863
202	1998	7844
203	2006	7830
204	2014	7811
205	2021	7790
206	2028	7769
207	2035	7750
208	2043	7735
209	2050	7715
210	2058	7696
211	2065	7677
212	2073	7661
213	2080	7641
214	2086	7619
215	2094	7601
216	2101	7581
217	2108	7562
218	2115	7545
219	2123	7527
220	2130	7510
221	2137	7492
222	2145	7477
223	2153	7461
224	2161	7443
225	2167	7423
226	2174	7404
227	2181	7385
228	2187	7366
229	2199	7362
230	2206	7344
231	2214	7330
232	2221	7312
233	2228	7294
234	2235	7276
235	2242	7258
236	2249	7241
237	2256	7224
238	2264	7209
239	2271	7194
240	2278	7176
241	2285	7159
242	2293	7143
243	2299	7126
244	2307	7111
245	2314	7094
246	2322	7080
247	2330	7067
248	2338	7052
249	2345	7035
250	2352	7021
251	2360	7005
252	2367	6989
253	2374	6974
254	2383	6963
255	2392	6952
256	2400	6940
257	2409	6928
258	2416	6913
259	2423	6898
260	2432	6886
261	2440	6873
262	2449	6862
263	2461	6861
264	2469	6849
265	2478	6839
266	2487	6829
267	2495	6817
268	2504	6804
269	2513	6796
270	2522	6784
271	2531	6775
272	2539	6762
273	2547	6751
274	2556	6738
275	2565	6729
276	2573	6716
277	2582	6706
278	2590	6694
279	2604	6698
280	2614	6690
281	2623	6680
282	2631	6668
283	2640	6657
284	2649	6646
285	2658	6635
286	2667	6626
287	2677	6618
288	2686	6608
289	2694	6597
290	2703	6585
291	2711	6573
292	2720	6565
293	2729	6553
294	2738	6545
295	2748	6535
296	2754	6520
297	2760	6503
298	2768	6490
299	2776	6477
300	2783	6463
301	2790	6449
302	2797	6435
303	2804	6421
304	2811	6407
305	2819	6394
306	2827	6381
307	2833	6367
308	2840	6351
309	2847	6339
310	2855	6325
311	2862	6311
312	2869	6297
313	2875	6282
314	2882	6268
315	2889	6255
316	2898	6243
317	2904	6230
318	2912	6218
319	2920	6205
320	2927	6193
